"votebiden","feel_biden","feel_trump","feel_fauci","feel_feminists","feel_unions","feel_bigbusiness","feel_gay","feel_muslim","feel_christian","feel_jewish","feel_police","feel_scientists","feel_nra","feel_fbi","feel_rural","feel_cdc"
0,0,100,40,40,50,50,50,50,85,50,70,50,85,60,60,40
0,40,80,75,50,5,65,0,50,95,50,85,85,51,70,100,60
0,0,100,60,50,15,50,15,50,100,85,100,75,85,50,100,40
1,85,0,100,100,40,70,100,85,85,100,85,100,0,85,70,85
0,0,100,50,60,50,60,50,40,85,50,100,100,100,50,100,60
0,0,90,50,50,40,75,50,50,100,100,100,85,85,50,100,75
1,100,0,100,100,85,70,85,100,100,100,40,100,0,85,50,100
1,60,0,85,70,70,30,50,60,40,50,30,100,0,60,50,85
0,30,50,75,35,35,70,40,30,75,50,75,85,70,60,85,75
1,90,0,95,90,70,70,90,95,95,95,50,95,0,50,70,70
1,85,0,100,90,85,40,100,85,70,90,75,90,0,90,75,85
1,90,2,85,70,60,50,70,65,75,80,70,90,10,80,60,75
0,50,100,60,50,50,100,50,50,100,50,100,100,100,40,30,100
0,0,85,40,50,60,40,30,40,100,85,100,70,85,70,85,50
0,15,85,40,0,15,70,50,70,70,70,100,100,30,60,70,40
0,0,100,40,40,80,85,0,30,70,100,100,50,80,70,85,60
0,15,85,50,30,30,50,30,15,100,60,85,40,70,50,100,50
1,85,0,70,60,30,30,60,70,60,60,60,85,15,40,50,50
1,85,15,100,60,70,40,50,50,85,50,85,85,35,90,50,90
1,100,0,100,85,70,60,85,50,100,100,85,85,0,70,85,100
1,100,0,100,100,100,50,100,70,70,85,85,100,0,100,70,85
1,70,0,70,85,85,85,85,85,85,100,100,85,50,85,60,100
1,85,40,100,70,40,70,60,85,85,100,100,100,15,100,85,70
1,70,0,85,60,60,50,80,65,70,90,65,90,0,70,70,70
0,30,40,70,70,0,100,100,100,70,100,100,85,50,85,100,40
0,0,100,50,50,0,50,50,40,90,90,90,75,100,75,100,50
1,60,0,85,60,65,60,60,40,30,75,50,90,5,60,20,90
1,100,0,100,85,70,60,85,70,70,85,70,100,0,40,70,60
1,90,0,85,70,70,30,90,90,90,90,75,85,30,60,60,80
0,50,70,30,40,50,100,100,100,70,100,100,90,75,90,100,80
0,30,60,70,50,40,50,50,50,60,60,100,60,50,40,80,50
0,0,50,50,40,30,0,85,100,100,100,85,100,60,100,50,50
0,60,50,60,50,15,40,50,50,70,50,70,60,60,60,60,60
1,100,0,100,70,85,50,100,60,60,85,70,100,40,85,40,85
0,30,70,70,50,50,50,65,50,90,50,85,85,75,70,100,80
1,40,0,85,50,70,50,100,50,40,100,40,60,50,50,50,50
0,0,85,0,60,50,15,70,40,85,60,85,60,85,15,85,15
1,85,0,50,100,100,30,100,100,0,85,0,100,0,50,40,85
1,85,0,100,100,100,75,75,60,80,100,85,100,0,90,75,90
1,85,0,100,50,60,30,50,70,100,70,85,85,0,60,60,85
0,0,100,15,0,100,70,50,0,100,100,100,100,100,0,100,0
1,100,0,100,85,15,70,85,40,70,85,85,100,15,85,100,100
1,70,0,70,60,40,70,100,100,100,100,90,100,85,85,100,100
1,100,30,70,80,50,40,50,50,70,90,70,100,0,50,90,80
0,30,85,50,40,40,70,50,50,100,60,85,60,100,50,85,50
1,100,0,100,100,60,40,100,85,60,100,40,100,0,70,40,85
1,100,15,70,70,70,70,70,60,40,100,85,85,50,85,60,100
1,72,13,88,85,49,28,83,54,68,57,61,100,9,89,46,80
0,0,100,30,40,50,50,50,85,100,100,85,40,100,40,100,85
0,0,100,5,0,15,10,35,5,85,75,75,60,80,35,75,10
1,100,0,100,100,80,40,100,100,100,100,75,100,0,85,100,100
1,60,0,70,50,70,40,50,50,70,70,85,85,60,50,85,70
1,100,0,100,100,40,15,90,85,50,60,15,100,0,50,70,100
0,0,85,0,40,50,50,50,30,85,85,85,85,70,60,85,50
0,0,100,30,30,40,60,70,60,100,100,85,70,100,70,100,70
1,82,0,100,95,95,60,85,70,62,81,70,100,0,90,70,80
1,85,0,100,100,85,30,100,70,50,70,30,85,40,50,30,100
1,100,0,100,100,85,35,100,100,0,100,30,100,0,85,35,40
0,40,70,40,50,60,60,40,50,100,100,85,85,50,70,85,85
1,100,0,85,85,50,40,100,85,30,100,60,100,15,85,40,100
1,100,0,100,50,100,85,85,85,85,85,70,15,0,85,70,100
0,0,85,40,40,30,85,50,40,100,70,85,70,100,40,85,60
1,100,0,100,100,85,85,100,100,100,100,85,100,0,100,100,30
0,0,100,40,60,40,60,40,30,100,85,100,50,100,85,100,70
0,30,85,60,40,70,60,15,0,85,60,85,85,70,40,70,70
1,85,15,100,85,60,60,85,85,85,85,85,85,15,70,60,70
1,70,0,100,60,60,40,85,50,50,50,60,60,50,50,40,85
0,60,85,100,50,30,100,50,50,50,50,100,100,40,100,50,95
0,10,66,6,25,75,33,90,90,90,90,90,90,65,70,95,60
1,98,9,70,70,60,70,60,50,80,50,35,80,50,60,70,100
0,0,85,60,50,50,50,100,40,85,85,98,70,85,40,85,40
0,0,85,70,40,40,40,70,70,100,100,100,85,85,100,100,85
0,0,100,0,40,0,70,50,40,100,100,100,85,100,70,70,30
1,100,0,100,80,60,30,90,80,40,90,30,100,10,85,75,100
1,70,15,15,86,60,30,85,60,50,50,40,40,40,40,70,15
1,60,0,70,100,100,50,100,100,100,100,50,100,0,50,50,100
0,0,90,40,40,50,50,50,0,100,80,100,90,100,80,100,75
1,100,0,100,70,60,40,100,60,60,70,70,85,30,60,40,70
0,30,40,60,70,60,60,85,70,85,85,85,70,60,70,70,85
0,10,65,25,35,50,20,20,10,85,60,25,80,85,15,85,10
1,100,0,100,100,70,70,100,100,100,100,100,100,70,100,100,100
1,70,15,85,50,50,50,100,50,50,50,85,50,50,50,70,85
0,100,85,85,60,40,85,85,60,85,85,70,30,100,60,85,70
0,0,100,15,50,70,15,50,50,85,100,100,50,100,0,100,50
0,70,70,100,50,40,40,40,50,85,50,40,85,40,70,85,60
0,70,70,83,85,80,65,85,85,55,85,70,95,75,85,85,65
1,80,0,85,50,70,5,50,50,50,50,50,95,0,50,50,90
0,15,100,40,40,40,50,50,50,100,85,85,70,85,40,70,85
1,70,10,85,100,50,50,90,100,90,100,75,100,20,65,35,100
1,100,0,50,50,50,50,50,40,0,100,100,100,0,50,50,50
1,70,0,70,60,85,40,50,50,100,100,30,70,15,20,50,50
0,30,60,50,30,15,50,50,50,70,50,85,50,50,40,70,50
0,15,90,25,75,80,85,90,80,90,100,100,80,95,85,95,65
0,50,40,50,50,30,30,85,70,70,85,85,70,60,30,85,50
1,70,0,85,60,70,15,85,50,60,85,70,100,0,85,50,85
0,0,90,70,80,50,60,90,70,70,70,70,90,80,80,80,80
1,85,0,90,60,75,50,50,50,60,50,85,85,30,60,60,90
1,85,0,100,100,85,15,100,100,100,100,60,100,15,60,100,85
0,0,100,60,60,60,40,60,40,85,85,100,70,85,60,85,85
1,100,0,100,85,100,0,100,60,0,100,60,100,60,40,85,100
1,100,0,100,50,50,60,50,50,70,50,85,85,0,85,50,85
0,0,100,40,0,30,50,0,0,50,50,100,50,100,85,100,60
0,40,85,40,40,30,60,60,50,70,60,85,70,70,40,85,40
1,70,0,100,50,40,50,50,50,30,100,40,100,0,50,50,100
0,0,100,30,30,30,60,30,40,85,70,85,85,85,15,100,60
1,100,0,100,75,85,60,85,50,40,60,70,100,0,95,60,85
0,0,60,60,30,50,60,30,40,60,50,70,70,50,50,85,50
1,85,0,100,50,85,40,50,50,50,50,85,85,15,60,40,85
1,70,0,100,95,75,5,100,70,40,90,49,100,10,50,65,70
1,70,15,85,40,40,70,50,50,50,50,100,100,40,85,40,70
1,100,15,100,100,85,75,100,90,100,100,90,100,65,90,85,100
0,15,85,60,60,50,70,70,70,100,85,100,85,70,60,85,70
1,70,0,70,100,100,50,100,100,100,100,70,100,40,50,50,85
0,0,85,70,30,40,60,100,100,100,100,100,70,85,40,70,85
1,100,15,70,70,50,30,70,70,70,70,50,60,50,50,60,85
1,100,0,90,100,90,15,100,85,70,100,70,100,0,70,70,60
0,30,72,50,50,65,50,70,80,65,80,90,90,50,50,90,75
1,70,10,90,60,75,50,85,55,40,80,75,90,10,75,80,90
1,85,0,100,50,50,50,50,50,40,85,85,85,15,60,50,70
1,85,0,85,50,30,50,50,50,50,50,50,70,85,60,85,85
0,0,100,70,0,15,90,0,0,85,85,90,50,100,50,100,50
1,65,5,75,55,50,60,65,70,70,70,70,75,40,70,65,65
1,70,15,85,70,70,70,50,50,85,50,70,100,30,50,100,85
0,30,85,60,50,60,50,50,40,70,70,70,85,85,60,85,85
0,30,85,50,40,30,40,85,40,70,70,60,50,80,60,70,75
1,85,0,85,50,60,40,60,50,15,50,50,85,0,60,40,70
1,70,0,100,60,70,40,50,50,60,50,70,85,70,70,60,85
0,15,85,30,0,30,15,60,50,85,85,85,40,70,15,100,30
1,85,0,100,85,85,30,90,80,70,85,30,90,0,85,70,75
0,40,60,30,40,85,70,50,50,85,85,85,70,85,85,85,85
1,70,0,85,50,50,60,85,60,85,70,85,85,40,60,60,70
1,85,0,100,40,30,50,50,50,30,50,70,100,0,85,70,85
0,0,100,40,40,70,70,70,60,85,85,70,70,85,40,85,60
0,0,100,30,40,55,45,40,45,90,85,75,65,80,65,70,70
1,60,0,70,70,50,50,60,60,60,60,70,100,40,60,70,60
1,90,0,85,25,25,50,50,30,40,45,70,95,35,65,55,70
1,100,0,100,85,50,70,60,60,85,85,60,100,0,85,70,85
1,80,0,85,50,40,40,50,60,50,50,70,80,0,80,50,60
0,0,100,50,0,50,50,0,50,100,50,85,50,85,50,50,50
1,100,0,100,100,100,50,100,40,100,60,100,100,50,100,85,100
1,100,0,100,70,60,30,50,50,30,70,40,85,0,100,70,100
1,80,0,65,70,75,30,60,75,90,75,85,95,10,70,50,60
1,100,0,100,70,70,15,60,50,100,40,15,100,70,100,60,15
1,70,0,100,100,55,40,70,50,40,50,40,85,0,50,50,60
1,85,30,95,40,50,60,50,77,77,77,70,95,15,88,60,80
1,100,0,100,100,30,30,100,50,100,100,60,100,0,70,100,70
1,100,0,100,70,50,50,85,70,50,70,70,100,0,70,20,85
1,85,0,85,85,70,40,50,50,50,85,60,100,0,85,50,60
1,88,20,92,70,50,30,75,90,60,40,49,75,10,30,90,80
1,70,0,100,70,70,40,70,60,70,70,85,85,0,70,50,85
1,85,30,85,50,60,30,50,50,30,50,40,100,0,60,40,85
1,70,0,60,85,70,40,70,30,30,30,40,70,50,50,50,50
1,85,0,100,100,85,40,100,100,100,100,100,100,15,100,100,100
0,0,100,15,40,60,40,40,40,100,60,85,60,85,60,85,50
0,60,50,50,15,45,45,40,40,100,85,85,70,50,70,75,60
0,0,100,30,30,70,85,30,15,85,85,85,85,85,30,85,70
0,0,85,30,30,15,15,40,0,85,70,85,60,60,60,85,70
1,70,0,70,100,60,0,100,70,100,100,30,100,0,60,70,100
0,0,100,0,1,1,80,10,75,80,75,95,45,99,10,95,0
1,100,0,85,70,100,50,86,85,85,85,60,100,40,70,70,100
0,30,60,70,15,60,60,50,60,60,50,60,50,50,40,85,40
0,30,85,30,50,60,50,70,60,85,100,100,100,60,50,60,50
0,0,85,0,40,50,40,50,40,40,50,85,70,85,85,70,40
1,70,0,85,60,60,60,60,60,85,70,40,85,0,60,60,70
1,60,0,100,50,85,70,50,50,90,85,85,100,70,100,100,100
1,100,0,100,85,100,60,100,100,100,100,70,100,30,100,85,100
1,85,0,70,85,70,70,85,70,70,70,70,100,60,60,40,60
0,0,90,30,20,15,40,50,50,80,50,80,65,95,90,90,10
0,40,85,60,60,70,60,70,60,85,85,85,85,85,70,85,70
1,100,0,85,85,70,50,50,50,70,50,50,85,0,70,70,85
1,100,0,100,50,100,0,60,50,100,85,85,100,85,60,85,85
0,40,85,30,50,60,60,50,15,85,70,70,50,85,0,85,50
0,30,70,50,50,85,85,85,85,85,85,85,50,85,50,85,50
0,0,100,0,0,50,50,50,50,100,100,100,0,100,50,100,0
1,90,0,90,70,50,50,70,70,100,100,85,90,0,70,60,85
0,40,50,70,40,70,30,30,30,60,70,30,60,60,60,60,70
0,0,100,0,0,0,30,50,100,85,100,100,60,100,70,100,50
1,70,0,85,100,100,15,100,100,50,100,60,100,0,60,85,85
0,30,80,80,80,60,70,80,80,80,80,85,75,75,60,85,80
1,85,0,70,70,50,40,40,50,100,50,100,85,40,70,100,85
1,75,10,90,75,80,30,50,80,80,80,80,90,15,85,50,90
0,10,95,15,15,60,30,15,40,90,50,95,80,85,85,80,80
1,100,0,100,100,85,70,100,100,100,100,100,100,0,100,100,100
0,15,85,85,40,70,30,15,0,100,100,30,85,85,70,85,85
0,0,100,50,50,0,50,50,50,50,85,100,68,90,50,0,50
1,100,0,100,100,70,30,85,100,100,100,70,100,30,85,85,100
0,15,40,60,40,40,75,50,40,100,85,85,100,100,85,85,70
0,0,85,50,50,60,50,50,70,75,50,60,65,60,50,70,50
1,70,0,100,70,60,40,70,60,60,70,70,85,60,85,85,70
1,85,0,70,100,60,50,85,70,60,100,60,100,0,85,60,70
1,50,40,40,50,40,40,50,50,60,50,50,60,50,40,50,30
1,100,0,100,100,85,40,100,85,50,100,85,100,15,70,50,85
0,0,70,85,30,40,70,50,50,50,50,100,50,60,60,100,50
1,60,0,100,15,50,15,70,50,70,70,50,95,40,50,50,60
1,100,0,100,100,100,50,100,0,0,0,100,100,0,100,50,100
0,0,100,50,50,50,50,50,50,50,50,50,50,50,50,50,100
1,90,0,95,60,60,75,50,40,40,40,80,90,0,90,80,70
1,85,0,85,70,70,70,50,50,50,50,70,85,30,70,40,70
0,0,100,30,50,50,30,50,50,50,50,100,85,85,0,100,100
1,85,0,85,60,60,15,70,70,60,70,50,85,0,70,85,70
1,100,0,100,85,85,40,85,85,100,85,70,100,0,70,70,85
0,40,85,60,50,70,85,85,70,100,100,100,50,85,40,85,85
0,0,100,50,50,50,50,100,50,50,100,100,100,100,50,100,50
1,100,0,100,80,15,40,100,100,70,100,99,100,0,95,100,85
0,0,90,50,50,10,85,75,10,80,75,95,90,95,30,85,85
0,30,40,40,40,40,60,60,0,50,60,70,70,70,40,70,70
0,15,40,40,100,60,40,100,100,100,100,85,100,50,60,100,40
1,60,0,20,50,60,30,60,50,50,50,50,70,40,60,50,60
1,60,0,85,100,85,15,100,100,60,100,60,100,15,60,60,100
1,100,0,100,50,50,50,50,50,50,50,70,70,30,50,50,70
0,0,100,0,30,0,15,0,0,85,70,85,30,100,15,100,15
1,75,5,100,90,70,40,90,85,85,90,65,95,15,65,70,90
1,70,0,100,70,30,30,85,70,60,70,70,100,30,70,85,100
1,90,0,95,75,75,45,90,50,50,70,70,95,3,85,50,90
0,30,86,15,60,40,50,80,60,80,70,85,100,40,85,85,85
0,60,85,85,50,40,40,60,40,85,50,85,70,85,60,70,60
1,60,20,60,50,30,50,100,90,80,80,70,75,50,60,50,50
0,0,100,0,15,70,60,15,0,85,70,70,70,40,40,85,0
1,100,0,100,50,100,50,50,50,60,50,85,85,85,60,100,100
0,0,100,0,85,60,70,85,40,100,100,85,100,100,30,85,85
0,60,60,50,60,85,60,40,70,85,70,85,70,50,70,85,60
0,0,100,15,0,40,0,50,40,70,80,70,50,50,10,70,60
1,65,55,85,30,20,30,70,70,70,85,50,100,30,35,45,70
1,100,0,100,70,70,85,70,70,85,100,70,100,40,85,85,100
0,30,70,50,50,70,60,50,50,85,60,70,60,70,40,70,60
1,70,0,100,100,50,50,50,70,100,100,100,85,50,85,100,100
0,0,100,1,0,25,30,100,5,100,100,100,15,100,0,100,10
0,45,60,70,85,0,80,85,85,100,85,70,85,70,70,85,70
0,40,70,60,30,40,60,50,60,70,70,85,85,60,60,85,60
0,70,70,100,30,40,50,40,60,85,60,70,70,40,40,85,70
0,30,95,60,40,10,50,50,0,50,50,75,90,100,50,50,85
0,15,100,50,50,40,85,50,50,85,70,100,85,100,85,85,85
1,85,0,100,50,30,30,50,50,50,30,40,100,15,40,30,30
1,99,0,100,75,90,15,100,100,10,100,15,100,30,10,60,90
1,85,0,100,70,40,30,85,85,85,85,70,85,15,60,85,85
0,15,100,30,15,15,50,50,15,100,100,100,85,85,30,100,15
0,0,100,60,15,30,60,15,15,85,70,70,60,70,70,85,40
0,0,100,15,50,50,50,50,40,50,85,100,60,85,15,85,50
0,49,90,30,40,40,60,50,30,80,70,100,50,50,50,80,60
1,90,0,98,90,90,38,80,80,30,80,30,98,0,60,48,70
0,50,60,85,50,40,60,85,85,85,85,85,85,60,60,100,70
1,70,0,85,70,45,45,70,55,45,55,50,90,20,55,45,65
0,50,85,90,50,15,50,50,15,50,50,85,60,85,85,85,70
0,15,100,40,40,40,50,50,50,85,85,100,70,70,60,85,70
0,0,100,0,30,0,70,60,30,70,85,100,70,70,15,70,15
1,70,0,85,85,50,50,85,85,60,70,50,85,30,50,50,70
1,60,0,80,70,100,15,100,50,15,60,60,100,0,60,60,100
0,30,85,85,40,85,60,85,70,70,85,85,85,85,85,85,85
1,70,0,80,75,51,0,70,60,25,65,5,85,0,50,49,50
0,0,100,0,25,50,40,50,20,85,60,80,60,80,30,85,20
1,85,0,100,100,100,20,100,75,10,90,65,100,10,80,25,90
1,85,0,100,85,85,50,85,85,60,85,70,85,0,60,50,85
1,85,0,100,100,70,70,100,100,100,100,85,100,100,85,100,100
1,100,0,100,60,85,30,100,85,15,100,60,100,0,85,40,100
1,85,0,60,60,40,0,60,70,100,85,60,70,15,70,30,50
0,15,100,30,0,15,40,40,70,70,50,85,0,85,15,50,0
0,0,100,75,40,50,70,50,40,85,50,85,85,100,40,85,85
1,85,0,100,85,85,50,85,85,85,100,60,100,0,85,60,100
1,70,0,85,85,50,40,90,70,85,85,60,70,30,70,50,70
0,0,60,40,15,15,30,50,40,60,70,70,40,50,40,85,40
1,40,0,65,55,50,50,50,45,40,50,50,75,25,70,40,70
1,70,0,85,70,70,50,60,50,100,70,70,85,15,70,85,85
1,90,0,100,95,50,50,100,50,50,100,75,100,0,75,75,95
1,40,0,85,60,70,30,85,60,70,70,85,85,60,85,70,70
0,0,100,100,0,50,100,0,50,100,100,100,100,100,100,100,100
1,90,0,90,50,60,35,30,30,55,20,50,80,15,50,60,60
0,0,100,70,15,85,85,85,50,50,70,99,85,85,100,70,85
0,15,85,15,50,50,50,50,40,50,85,60,50,100,40,85,15
1,85,0,100,70,60,30,70,50,50,50,60,85,30,85,60,70
1,100,0,100,70,85,60,100,100,100,100,85,100,0,100,50,100
1,85,0,100,85,85,60,100,85,70,100,85,85,50,85,60,85
1,95,0,99,100,85,65,100,100,75,100,60,100,0,90,80,100
1,85,0,100,60,40,40,50,30,100,85,60,85,30,70,70,50
0,15,90,10,15,15,70,85,80,95,95,85,40,70,40,100,55
1,85,0,85,60,70,40,100,85,100,100,85,100,50,85,85,85
1,90,5,95,50,60,40,50,50,30,50,50,85,40,50,50,70
1,85,0,50,85,50,75,50,85,85,75,75,75,50,70,50,95
0,0,85,0,50,70,15,50,50,100,50,100,100,100,60,50,85
0,0,100,10,45,30,55,50,65,95,90,100,45,90,10,85,85
1,70,30,85,60,40,30,50,50,50,50,70,70,40,70,60,60
0,85,40,100,70,85,70,70,70,70,70,85,70,70,70,70,100
1,75,0,100,100,75,0,100,75,50,100,75,100,0,100,75,75
1,85,0,90,70,60,40,60,50,60,60,45,80,15,70,60,70
0,40,60,50,60,50,40,60,40,100,100,60,60,85,70,85,60
1,85,0,100,90,70,40,95,85,75,90,90,90,50,75,75,75
0,0,100,0,50,70,60,100,100,100,100,100,85,85,40,85,0
1,100,0,100,70,75,3,50,50,78,85,25,100,50,85,40,95
0,40,60,60,40,70,60,50,40,60,75,50,85,40,40,75,50
1,90,0,98,90,85,60,98,70,50,70,40,98,0,70,40,70
0,10,90,45,0,5,50,50,50,70,50,85,50,90,25,85,50
1,85,0,100,85,70,50,70,50,30,50,15,85,0,70,15,85
1,60,0,70,70,60,50,100,50,15,50,40,85,0,30,40,70
1,2,0,100,100,100,50,60,70,100,40,30,100,50,50,60,90
1,100,0,100,50,15,50,70,100,100,100,60,100,50,50,100,85
1,85,0,70,50,70,50,50,50,50,50,60,70,50,50,50,50
0,0,90,15,15,30,85,100,85,100,100,100,85,100,70,100,70
1,88,0,100,85,70,70,85,85,85,85,70,100,15,85,60,85
0,0,85,0,50,40,70,50,50,85,85,85,85,85,70,70,60
1,100,0,100,70,40,40,50,30,60,40,70,85,0,60,40,70
1,100,0,100,100,100,0,70,100,70,70,60,100,0,70,100,100
0,0,100,50,0,40,60,50,85,100,100,100,60,85,40,100,40
0,30,85,85,40,55,70,50,50,35,50,98,100,80,100,60,85
1,90,5,100,90,75,40,100,100,75,100,70,100,0,80,100,100
1,75,0,90,40,50,50,50,50,50,50,50,75,40,50,50,50
0,35,55,30,45,70,55,50,60,55,70,70,70,70,70,80,70
1,100,0,100,100,60,50,100,85,40,100,70,100,0,70,40,70
1,100,0,100,85,100,50,50,100,50,85,30,100,30,30,0,50
1,70,0,100,85,60,40,100,100,85,100,70,100,30,85,60,85
0,0,100,40,40,15,60,0,40,100,85,100,60,100,70,100,40
0,15,85,60,50,50,70,60,30,100,85,85,70,70,70,85,60
1,86,0,100,50,40,0,86,50,60,60,70,86,0,86,86,70
0,0,85,15,30,15,70,50,50,100,85,85,50,85,40,50,40
1,70,0,100,60,85,30,85,70,70,70,40,85,0,60,70,85
0,15,70,50,40,50,30,50,40,60,60,85,70,70,40,100,60
1,80,15,85,80,50,70,75,50,80,100,70,85,20,50,50,80
